Product URL,Product Name,Product Price,Rating,Number of reviews
https://www.amazon.in/Cartoon-Unicorn-Haversack-Drawstring-Birthday/dp/B0BFXLZZ3J/ref=sr_1_273?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-273,"AK Store Cartoon Unicorn Print Dori Bag Haversack Bags, Drawstring Sack Bags, Exam Bags, Tution Bags for Boys, Girls, Kids, Birthday Return Gift Bags, Pink",₹ 99,null,null
https://www.amazon.in/Lify-Womens-Shoulder-Crossbody-Handbag/dp/B09JWMW646/ref=sr_1_272?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-272,Lify Women's Retro Large Size Canvas Shoulder Bag Hobo Crossbody Handbag Casual Tote - 1 Piece,₹ 320,3.8 out of 5 stars,"1,221 ratings"
https://www.amazon.in/Genie-Spritz-Daypack-Fashion-Backpack/dp/B083ZDT8SD/ref=sr_1_271?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-271,"Genie Spritz Daypack 14 inch, Stylish and Trendy College backpacks for girls, Water Resistant and Lightweight Mini Bags for Travelling Purpose. Latest Collection of Backpack for women (Rose)",₹ 349,4.2 out of 5 stars,"2,286 ratings"
https://www.amazon.in/Amazon-Brand-Womens-Sling-Light/dp/B07YXBTD6Z/ref=sr_1_270?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-270,Amazon Brand - Eden & Ivy Women's Sling Bag,₹ 564.63,4.3 out of 5 stars,608 ratings
https://www.amazon.in/AirCase-Messenger-Detachable-Shoulder-Warranty/dp/B0BHZ12XQ7/ref=sr_1_269?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-269,"AirCase Office Canvas Sling Messenger Bag fits Upto 15.6"" Laptop/ MacBook, PU Leather Handles, Detachable Shoulder Strap, Easy to Clean, for Office/ Travel, Men & Women,Grey- 6 Month Warranty",₹ 999,null,null
https://www.amazon.in/KILLER-Polyester-Orange-Laptop-Backpack/dp/B07B516P18/ref=sr_1_266?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-266,KILLER Casual College Bags Munich 29L Trendy Polyester Laptop Backpack,₹ 986,4.2 out of 5 stars,711 ratings
https://www.amazon.in/GOOD-FRIENDS-Blowzy-Messenger-Briefcase/dp/B088LG4CYY/ref=sr_1_265?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-265,"Good Friends Blowzy Bags Laptop Messenger Bags for Men, Laptop Bags for Womens, Office Bags for Man, Laptop Briefcase, 15.6 inch Laptop Bag (Tan)",₹ 599,3.8 out of 5 stars,32 ratings
https://www.amazon.in/icemart-student-Waterproof-backpack-IC-0117/dp/B08JJ7RSYR/ref=sr_1_264?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-264,"icemart Cute Style female student Oxford Waterproof anti thief school bags backpack girls Daily backpack sling bag (IC-0117, Grey)",₹ 399,3.5 out of 5 stars,325 ratings
https://www.amazon.in/Shalimar-Reusable-Grocery-Multipurpose-Green/dp/B097J7KCL4/ref=sr_1_263?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-263,Shalimar Reusable Grocery/Multipurpose Bags (Blue/Green) (16 x 15 x 5 Inch) - Pack of 2,₹ 48.82,null,null
https://www.amazon.in/DIVING-DEEP-Backpack-Polyester-Bag/dp/B08F7YYZTJ/ref=sr_1_262?crid=2M096C61O4MLT&keywords=bags&qid=1675244924&sprefix=ba%2Caps%2C283&sr=8-262,DIVING DEEP Women Backpack Latest School Bag for Girls (Black),₹ 379,3.3 out of 5 stars,"1,393 ratings"
